customer_id,signup_date,state,age_group,customer_segment,risk_tier
CUST00001,2024-10-16,TX,25-34,Standard,Medium
CUST00002,2023-05-23,CO,55+,Premium,Low
CUST00003,2023-03-31,NY,25-34,Standard,Low
CUST00004,2023-08-27,TX,55+,Standard,Low
CUST00005,2024-03-05,OH,18-24,Standard,Low
CUST00006,2025-02-16,WA,35-44,Premium,Low
CUST00007,2023-06-09,NY,18-24,Standard,Medium
CUST00008,2024-01-25,NC,35-44,Standard,Medium
CUST00009,2025-04-06,NY,45-54,Standard,Low
CUST00010,2023-03-22,NC,35-44,Standard,Medium
CUST00011,2024-08-14,VA,25-34,Standard,Low
CUST00012,2025-03-02,TX,18-24,Standard,Low
CUST00013,2024-01-25,WA,25-34,Standard,Low
CUST00014,2024-01-15,NJ,18-24,Standard,Low
CUST00015,2024-09-15,TX,25-34,Standard,Low
CUST00016,2024-04-18,VA,55+,Standard,High
CUST00017,2023-08-13,OH,18-24,Premium,Medium
CUST00018,2023-08-23,IL,35-44,Premium,Medium
CUST00019,2023-03-09,CO,35-44,Standard,High
CUST00020,2023-08-06,CO,45-54,Premium,Low
CUST00021,2023-05-27,GA,55+,Standard,Low
CUST00022,2023-09-27,NC,45-54,Premium,Low
CUST00023,2024-01-06,GA,45-54,Standard,High
CUST00024,2023-04-04,CA,25-34,Premium,Medium
CUST00025,2025-03-22,IL,45-54,Premium,Low
CUST00026,2024-09-02,GA,18-24,Small Business,Low
CUST00027,2024-11-27,GA,35-44,Premium,Low
CUST00028,2025-02-26,IL,25-34,Standard,Low
CUST00029,2024-04-09,NJ,35-44,Standard,Medium
CUST00030,2024-05-27,NY,35-44,Premium,Low
CUST00031,2024-10-16,WA,25-34,Standard,Low
CUST00032,2024-07-06,CO,18-24,Small Business,Medium
CUST00033,2024-09-05,CO,35-44,Standard,Low
CUST00034,2025-04-06,CO,55+,Standard,Low
CUST00035,2023-03-22,NY,55+,Standard,Low
CUST00036,2025-02-23,GA,25-34,Standard,Low
CUST00037,2023-09-29,TX,55+,Standard,Low
CUST00038,2025-02-12,FL,45-54,Premium,Low
CUST00039,2024-11-18,GA,45-54,Standard,Low
CUST00040,2023-05-04,MA,55+,Standard,Low
CUST00041,2024-07-21,NY,18-24,Standard,Low
CUST00042,2023-08-23,WA,18-24,Standard,Low
CUST00043,2024-06-10,TX,55+,Standard,Low
CUST00044,2023-05-16,NC,45-54,Premium,Medium
CUST00045,2023-09-06,TX,18-24,Premium,Medium
CUST00046,2023-04-10,IL,45-54,Premium,Low
CUST00047,2025-01-16,VA,18-24,Standard,Low
CUST00048,2023-03-04,AZ,18-24,Standard,Low
CUST00049,2023-09-12,CA,45-54,Standard,Low
CUST00050,2023-07-07,CO,18-24,Standard,Low
CUST00051,2024-03-29,NY,18-24,Premium,Medium
CUST00052,2024-10-29,NY,25-34,Small Business,Medium
CUST00053,2023-06-20,AZ,45-54,Standard,Low
CUST00054,2023-03-02,IL,35-44,Standard,Low
CUST00055,2025-03-13,NJ,55+,Premium,Low
CUST00056,2024-11-08,FL,25-34,Premium,Low
CUST00057,2023-03-01,NJ,35-44,Standard,Low
CUST00058,2023-02-28,CO,55+,Standard,Low
CUST00059,2023-06-11,AZ,25-34,Standard,Low
CUST00060,2023-03-12,TX,45-54,Standard,Low
CUST00061,2023-05-03,NC,55+,Small Business,Low
CUST00062,2023-02-10,NC,55+,Standard,Low
CUST00063,2024-06-19,VA,35-44,Standard,Low
CUST00064,2023-09-02,VA,35-44,Standard,Low
CUST00065,2024-04-13,NY,18-24,Standard,Medium
CUST00066,2024-04-14,NY,18-24,Standard,Low
CUST00067,2024-07-04,CO,35-44,Standard,Low
CUST00068,2023-03-12,CA,45-54,Premium,Low
CUST00069,2024-07-10,OH,55+,Premium,Low
CUST00070,2023-01-09,CO,18-24,Premium,Low
CUST00071,2023-05-18,NJ,55+,Standard,Medium
CUST00072,2023-06-09,NJ,35-44,Standard,Low
CUST00073,2023-07-28,GA,45-54,Premium,Medium
CUST00074,2023-09-15,NY,45-54,Small Business,Medium
CUST00075,2025-04-29,OH,25-34,Standard,Low
CUST00076,2024-10-14,PA,55+,Small Business,Low
CUST00077,2024-12-23,NY,25-34,Standard,Low
CUST00078,2024-07-12,GA,25-34,Standard,Low
CUST00079,2024-03-16,CO,18-24,Standard,Low
CUST00080,2024-01-02,NY,35-44,Standard,Low
CUST00081,2025-03-09,NC,25-34,Standard,Medium
CUST00082,2023-08-31,OH,25-34,Premium,High
CUST00083,2024-02-27,WA,45-54,Standard,Medium
CUST00084,2025-04-01,TX,35-44,Premium,Medium
CUST00085,2023-06-13,AZ,18-24,Premium,Low
CUST00086,2024-04-26,PA,35-44,Standard,Medium
CUST00087,2023-11-09,TX,18-24,Premium,Medium
CUST00088,2024-11-06,AZ,18-24,Standard,Low
CUST00089,2025-03-02,IL,55+,Standard,Low
CUST00090,2023-12-06,FL,25-34,Small Business,Low
CUST00091,2024-08-17,NY,55+,Small Business,Low
CUST00092,2024-03-20,IL,55+,Standard,Medium
CUST00093,2024-06-07,TX,35-44,Standard,Medium
CUST00094,2023-02-15,CO,55+,Premium,Low
CUST00095,2024-12-04,VA,25-34,Premium,Medium
CUST00096,2024-01-08,CO,35-44,Standard,High
CUST00097,2024-09-30,NJ,35-44,Standard,Medium
CUST00098,2024-06-03,IL,35-44,Standard,Low
CUST00099,2024-07-21,IL,25-34,Standard,Low
CUST00100,2024-09-22,AZ,18-24,Standard,Low
CUST00101,2023-11-08,NC,55+,Standard,Low
CUST00102,2024-11-01,VA,25-34,Standard,Low
CUST00103,2024-06-07,OH,25-34,Standard,Medium
CUST00104,2024-11-05,VA,55+,Standard,Low
CUST00105,2023-12-10,TX,35-44,Standard,High
CUST00106,2023-08-19,MA,25-34,Premium,Low
CUST00107,2024-05-01,PA,45-54,Standard,Medium
CUST00108,2024-10-06,IL,45-54,Standard,Medium
CUST00109,2024-02-14,MA,18-24,Standard,Low
CUST00110,2025-03-08,NJ,55+,Standard,Low
CUST00111,2024-04-20,AZ,18-24,Standard,Low
CUST00112,2024-04-12,GA,55+,Standard,Low
CUST00113,2024-09-01,PA,55+,Standard,Medium
CUST00114,2025-04-14,AZ,55+,Premium,Low
CUST00115,2024-04-01,PA,45-54,Premium,Medium
CUST00116,2023-09-23,FL,55+,Premium,Medium
CUST00117,2024-05-11,NY,35-44,Standard,Low
CUST00118,2023-08-29,GA,18-24,Standard,Low
CUST00119,2023-05-22,CA,25-34,Standard,Low
CUST00120,2023-03-07,PA,45-54,Standard,Low
CUST00121,2023-03-05,CO,55+,Standard,Low
CUST00122,2024-12-13,NC,45-54,Standard,Medium
CUST00123,2024-05-03,OH,45-54,Standard,Low
CUST00124,2024-03-05,OH,55+,Standard,Medium
CUST00125,2023-08-14,PA,18-24,Standard,Low
CUST00126,2024-02-03,IL,25-34,Standard,Low
CUST00127,2024-04-23,GA,18-24,Small Business,High
CUST00128,2024-02-08,NY,45-54,Standard,Low
CUST00129,2023-05-19,FL,45-54,Premium,Low
CUST00130,2023-12-02,OH,45-54,Standard,Low
CUST00131,2023-10-12,FL,18-24,Premium,Medium
CUST00132,2024-04-26,WA,25-34,Standard,Low
CUST00133,2024-10-27,MA,18-24,Standard,High
CUST00134,2023-09-11,CA,25-34,Standard,Low
CUST00135,2023-05-10,TX,45-54,Standard,Low
CUST00136,2024-12-17,NC,55+,Standard,Low
CUST00137,2025-02-04,CA,35-44,Premium,Medium
CUST00138,2023-04-21,NC,45-54,Standard,Medium
CUST00139,2024-02-11,NC,25-34,Small Business,Low
CUST00140,2023-04-15,VA,55+,Premium,Low
CUST00141,2025-04-04,OH,18-24,Standard,High
CUST00142,2023-12-22,NY,55+,Standard,Low
CUST00143,2024-10-25,AZ,45-54,Standard,Medium
CUST00144,2023-04-19,CO,45-54,Standard,Low
CUST00145,2024-12-25,GA,35-44,Standard,Low
CUST00146,2024-09-22,PA,45-54,Premium,Low
CUST00147,2024-03-22,WA,25-34,Premium,Low
CUST00148,2025-04-30,PA,25-34,Small Business,Low
CUST00149,2025-02-07,IL,35-44,Standard,Low
CUST00150,2023-01-30,PA,25-34,Standard,Low
CUST00151,2023-12-30,CO,55+,Premium,Low
CUST00152,2024-12-19,GA,25-34,Premium,Low
CUST00153,2023-03-29,GA,25-34,Standard,Low
CUST00154,2024-12-08,PA,18-24,Standard,Medium
CUST00155,2023-04-06,TX,35-44,Standard,Low
CUST00156,2024-11-10,GA,35-44,Standard,Low
CUST00157,2024-03-11,WA,45-54,Small Business,Low
CUST00158,2023-10-05,NJ,25-34,Standard,Low
CUST00159,2023-11-20,OH,25-34,Standard,Low
CUST00160,2023-07-16,NJ,55+,Standard,Low
CUST00161,2025-02-17,NY,25-34,Standard,Low
CUST00162,2023-10-31,MA,55+,Standard,Low
