transaction_id,transaction_date,customer_id,state,age_group,customer_segment,risk_tier,merchant_category,payment_channel,payment_method,device_type,transaction_amount,fee_amount,transaction_status,failure_reason,risk_score,risk_flag
TXN0000001,2025-01-03,CUST00638,MA,18-24,Small Business,Low,Grocery,Mobile App,Debit Card,POS,59.54,0.71,Completed,None,15,Low Risk
TXN0000002,2025-01-19,CUST00485,AZ,55+,Standard,Low,Utilities,Mobile App,ACH,iOS,76.86,0.46,Completed,None,9,Low Risk
TXN0000003,2025-02-05,CUST00138,NC,45-54,Standard,Medium,Travel,API,ACH,Android,787.72,4.73,Completed,None,52,Medium Risk
TXN0000004,2025-05-16,CUST00246,CO,55+,Standard,Low,Retail,Web,Debit Card,Android,115.0,1.38,Completed,None,4,Low Risk
TXN0000005,2025-04-16,CUST00475,VA,35-44,Premium,Low,Restaurants,Mobile App,Debit Card,POS,151.79,1.82,Completed,None,3,Low Risk
TXN0000006,2025-05-31,CUST00002,CO,55+,Premium,Low,Healthcare,Mobile App,Credit Card,Desktop,72.57,1.6,Completed,None,2,Low Risk
TXN0000007,2025-03-05,CUST00380,OH,25-34,Standard,Low,Retail,Web,Credit Card,Desktop,38.14,0.84,Completed,None,9,Low Risk
TXN0000008,2025-02-22,CUST00197,OH,25-34,Standard,Low,Retail,Web,ACH,iOS,121.25,0.0,Failed,Account Verification Failed,27,Low Risk
TXN0000009,2025-05-07,CUST00059,AZ,25-34,Standard,Low,Travel,Mobile App,Credit Card,iOS,614.39,13.52,Completed,None,25,Low Risk
TXN0000010,2025-04-03,CUST00097,NJ,35-44,Standard,Medium,Money Transfer,Mobile App,ACH,Android,67.47,0.4,Completed,None,35,Low Risk
TXN0000011,2025-05-01,CUST00095,VA,25-34,Premium,Medium,Subscription,API,Debit Card,iOS,44.66,0.54,Completed,None,26,Low Risk
TXN0000012,2025-01-16,CUST00061,NC,55+,Small Business,Low,Money Transfer,Mobile App,Debit Card,Desktop,117.71,1.41,Completed,None,28,Low Risk
TXN0000013,2025-06-29,CUST00436,NC,35-44,Premium,High,Travel,Web,Credit Card,iOS,546.25,0.0,Failed,Insufficient Funds,86,High Risk
TXN0000014,2025-02-09,CUST00132,WA,25-34,Standard,Low,Retail,Mobile App,Credit Card,Desktop,74.09,1.63,Completed,None,2,Low Risk
TXN0000015,2025-03-21,CUST00005,OH,18-24,Standard,Low,Restaurants,Web,ACH,iOS,85.38,0.51,Completed,None,13,Low Risk
TXN0000016,2025-01-30,CUST00343,GA,18-24,Standard,Medium,Retail,Web,Debit Card,Desktop,57.0,0.68,Completed,None,18,Low Risk
TXN0000017,2025-01-04,CUST00565,NC,55+,Standard,Low,Restaurants,Web,Debit Card,API,112.26,1.35,Completed,None,8,Low Risk
TXN0000018,2025-02-12,CUST00539,VA,45-54,Standard,Medium,Digital Services,Web,ACH,Desktop,211.05,1.27,Completed,None,15,Low Risk
TXN0000019,2025-03-27,CUST00209,IL,18-24,Standard,Medium,Entertainment,Mobile App,Debit Card,Desktop,7.77,0.09,Completed,None,17,Low Risk
TXN0000020,2025-05-08,CUST00178,NY,55+,Premium,Low,Retail,Mobile App,Credit Card,Android,46.29,1.02,Completed,None,8,Low Risk
TXN0000021,2025-01-27,CUST00593,MA,45-54,Standard,Low,Money Transfer,Web,Debit Card,Desktop,397.88,0.0,Failed,Account Verification Failed,35,Low Risk
TXN0000022,2025-03-04,CUST00487,MA,45-54,Premium,Low,Grocery,Mobile App,Wallet Balance,iOS,15.73,0.06,Completed,None,1,Low Risk
TXN0000023,2025-05-22,CUST00235,VA,25-34,Premium,Medium,Entertainment,Web,Credit Card,iOS,96.66,2.13,Completed,None,25,Low Risk
TXN0000024,2025-03-11,CUST00314,GA,18-24,Standard,Low,Entertainment,Web,Debit Card,Android,77.64,0.93,Completed,None,7,Low Risk
TXN0000025,2025-05-13,CUST00115,PA,45-54,Premium,Medium,Subscription,Card Terminal,Debit Card,Android,72.39,0.87,Completed,None,24,Low Risk
TXN0000026,2025-03-25,CUST00474,WA,35-44,Standard,Medium,Grocery,Mobile App,Debit Card,iOS,54.58,0.65,Completed,None,22,Low Risk
TXN0000027,2025-04-29,CUST00234,TX,55+,Premium,Low,Digital Services,Card Terminal,Wallet Balance,Desktop,80.19,0.32,Completed,None,7,Low Risk
TXN0000028,2025-02-08,CUST00628,AZ,25-34,Standard,Medium,Grocery,Mobile App,Debit Card,iOS,84.74,1.02,Completed,None,15,Low Risk
TXN0000029,2025-03-27,CUST00480,IL,55+,Premium,Low,Grocery,Web,ACH,Desktop,83.28,0.5,Completed,None,7,Low Risk
TXN0000030,2025-04-18,CUST00519,WA,35-44,Standard,Medium,Retail,Mobile App,Wallet Balance,Desktop,76.53,0.31,Completed,None,22,Low Risk
TXN0000031,2025-05-14,CUST00221,WA,45-54,Premium,Low,Travel,API,Credit Card,Desktop,345.13,7.59,Completed,None,14,Low Risk
TXN0000032,2025-06-13,CUST00294,VA,55+,Standard,Low,Entertainment,Mobile App,Credit Card,Android,79.1,1.74,Completed,None,7,Low Risk
TXN0000033,2025-03-16,CUST00612,IL,45-54,Standard,Low,Digital Services,Mobile App,ACH,Desktop,67.67,0.41,Completed,None,10,Low Risk
TXN0000034,2025-04-26,CUST00617,IL,45-54,Standard,Low,Digital Services,Mobile App,Debit Card,Desktop,109.5,1.31,Completed,None,4,Low Risk
TXN0000035,2025-01-28,CUST00053,AZ,45-54,Standard,Low,Utilities,Mobile App,Credit Card,Android,264.71,5.82,Completed,None,6,Low Risk
TXN0000036,2025-04-26,CUST00383,NC,25-34,Standard,Low,Digital Services,Mobile App,Debit Card,iOS,103.98,1.25,Completed,None,1,Low Risk
TXN0000037,2025-02-25,CUST00151,CO,55+,Premium,Low,Entertainment,Mobile App,Debit Card,iOS,132.46,1.59,Completed,None,1,Low Risk
TXN0000038,2025-06-23,CUST00192,IL,55+,Standard,High,Digital Services,API,Debit Card,API,112.37,1.35,Completed,None,52,Medium Risk
TXN0000039,2025-01-25,CUST00485,AZ,55+,Standard,Low,Retail,API,Debit Card,iOS,91.43,1.1,Completed,None,17,Low Risk
TXN0000040,2025-02-03,CUST00484,GA,25-34,Standard,Low,Utilities,Mobile App,Credit Card,POS,65.22,1.43,Completed,None,8,Low Risk
TXN0000041,2025-01-20,CUST00070,CO,18-24,Premium,Low,Grocery,Mobile App,Wallet Balance,Android,193.86,0.78,Completed,None,10,Low Risk
TXN0000042,2025-02-01,CUST00618,OH,25-34,Standard,Low,Grocery,Mobile App,Debit Card,Android,43.85,0.53,Completed,None,12,Low Risk
TXN0000043,2025-05-08,CUST00099,IL,25-34,Standard,Low,Grocery,Web,Debit Card,iOS,72.99,0.88,Completed,None,8,Low Risk
TXN0000044,2025-04-25,CUST00392,CO,25-34,Premium,Medium,Money Transfer,Mobile App,Credit Card,iOS,377.08,8.3,Completed,None,43,Medium Risk
TXN0000045,2025-05-21,CUST00419,CA,45-54,Premium,Low,Retail,Mobile App,Debit Card,Android,75.96,0.91,Completed,None,7,Low Risk
TXN0000046,2025-06-11,CUST00088,AZ,18-24,Standard,Low,Subscription,Web,Debit Card,Android,97.26,1.17,Completed,None,15,Low Risk
TXN0000047,2025-05-20,CUST00184,AZ,55+,Standard,High,Entertainment,Mobile App,Credit Card,iOS,72.15,1.59,Completed,None,35,Low Risk
TXN0000048,2025-03-23,CUST00170,OH,55+,Standard,Low,Retail,Mobile App,ACH,iOS,42.23,0.25,Completed,None,15,Low Risk
TXN0000049,2025-05-16,CUST00437,VA,18-24,Premium,Medium,Digital Services,Web,Debit Card,iOS,27.89,0.33,Completed,None,22,Low Risk
TXN0000050,2025-03-10,CUST00459,CA,18-24,Standard,Low,Retail,API,ACH,Desktop,70.22,0.42,Completed,None,22,Low Risk
TXN0000051,2025-04-01,CUST00307,WA,35-44,Standard,Medium,Money Transfer,Card Terminal,Debit Card,iOS,94.77,1.14,Completed,None,41,Medium Risk
TXN0000052,2025-06-01,CUST00260,AZ,25-34,Small Business,Low,Grocery,Web,Wallet Balance,Android,82.61,0.33,Completed,None,6,Low Risk
TXN0000053,2025-05-07,CUST00631,CO,18-24,Standard,Medium,Retail,Mobile App,Debit Card,iOS,100.85,1.21,Completed,None,15,Low Risk
TXN0000054,2025-05-15,CUST00542,NY,35-44,Standard,Medium,Retail,Mobile App,Credit Card,Desktop,59.89,1.32,Completed,None,20,Low Risk
TXN0000055,2025-03-24,CUST00270,GA,35-44,Standard,Low,Grocery,Mobile App,ACH,iOS,181.84,1.09,Completed,None,11,Low Risk
TXN0000056,2025-01-19,CUST00048,AZ,18-24,Standard,Low,Digital Services,Card Terminal,Debit Card,iOS,91.18,1.09,Completed,None,4,Low Risk
TXN0000057,2025-02-10,CUST00450,WA,45-54,Standard,Medium,Healthcare,Mobile App,Credit Card,Android,123.71,2.72,Completed,None,26,Low Risk
TXN0000058,2025-02-27,CUST00427,NC,55+,Standard,Medium,Restaurants,API,Debit Card,Desktop,23.5,0.28,Completed,None,30,Low Risk
